size,dict1 rand,dict2 rand,dict1 order,dict2 order
10000,17.0,13.8,4117.6,3892.6
20000,21.8,19.2,10749.4,9759.4
30000,21.0,18.0,17196.0,14902.4
40000,20.6,18.2,17785.8,14883.8
50000,25.8,22.8,25800.8,20875.0
100000,21.4,19.0,0.0,0.0
150000,24.2,20.2,0.0,0.0
200000,24.6,21.2,0.0,0.0
250000,27.8,19.6,0.0,0.0
