81629,John P. Mooney,M,31,177,79,United States,USA,1996 Summer,1996,Summer,Atlanta,Canoeing,Canoeing Men's Kayak Doubles 1000 metres,NA
36462,Alfr. Fotiadis,M,NA,NA,NA,Greece,GRE,1906 Summer,1906,Summer,Athina,Shooting,Shooting Men's Dueling Pistol Au Vise 20 metres,NA
119674,Wolfram Thiem,M,20,194,100,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Eights,NA
74463,Tamara Ivanovna Manina,F,30,162,56,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Floor Exercise,NA
89067,Jeanne Marie Omelenchuk (Robinson-),F,36,163,52,United States,USA,1968 Winter,1968,Winter,Grenoble,Speed Skating,Speed Skating Women's 3000 metres,NA
99017,Jrgen Frank Rasmussen,M,21,NA,NA,Denmark,DEN,1952 Summer,1952,Summer,Helsinki,Cycling,Cycling Men's Road Race Individual,NA
50813,Fernando Ignacio Huergo,M,39,NA,NA,Argentina,ARG,1948 Summer,1948,Summer,London,Fencing,Fencing Men's Sabre Individual,NA
18990,Claudino Caiado de Castro,M,NA,NA,NA,Brazil,BRA,1952 Summer,1952,Summer,Helsinki,Water Polo,Water Polo Men's Water Polo,NA
113723,Jennifer Ann Spediacci,F,26,170,71,Italy,ITA,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,NA
107233,Arthur Schnabel,M,35,182,104,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Open Class,Bronze
69189,Barbara Lewe-Pohlmann-Schttpelz (-Norton -Conrad),F,27,168,60,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Canoeing,Canoeing Women's Kayak Doubles 500 metres,Bronze
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,Art Competitions Mixed Painting Paintings,NA
52386,Albert Keith Irwin,M,30,NA,NA,Canada,CAN,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing,Alpine Skiing Men's Downhill,NA
38295,Stphane Michiel Ivan Ganeff,M,21,185,77,Belgium,BEL,1980 Summer,1980,Summer,Moskva,Fencing,Fencing Men's Foil Individual,NA
31954,Ibrahim El-Dessouki,M,NA,NA,60,Egypt,EGY,1948 Summer,1948,Summer,London,Weightlifting,Weightlifting Men's Featherweight,NA
130127,Pernilla Christina Wiberg (-Bjerke),F,21,161,68,Sweden,SWE,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Gold
107196,Johannes Schmitt,M,21,179,67,Germany,GER,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,NA
50920,Immo Uolevi Huhtinen,M,39,165,70,Finland,FIN,1972 Summer,1972,Summer,Munich,Shooting,Shooting Mixed Free Pistol 50 metres,NA
23985,Kevin Troy Crow,M,22,188,85,United States,USA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,NA
104342,Mohamed Sad,M,25,173,58,Morocco,MAR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 5000 metres,NA
78473,Wilhelm Melliger,M,38,170,73,Switzerland,SUI,1992 Summer,1992,Summer,Barcelona,Equestrianism,Equestrianism Mixed Jumping Team,NA
73368,Brenda Vianey Magaa Almaral (-Moya),F,27,156,48,Mexico,MEX,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,NA
129369,Raymond Henry Weinberg,M,22,188,81,Australia,AUS,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,NA
52026,Darrall Tucker Imhoff,M,21,211,98,United States,USA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Gold
88540,Sotoo Okushiba,M,22,172,67,Japan,JPN,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,NA
130067,Olivia Rose Whitlam,F,26,185,74,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,NA
90635,va Pajor,F,19,NA,NA,Hungary,HUN,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 100 metres Backstroke,NA
42159,Dieter Grabe,M,23,188,79,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,NA
21537,Salvator Cicurel,M,35,NA,NA,Egypt,EGY,1928 Summer,1928,Summer,Amsterdam,Fencing,Fencing Men's epee Individual,NA
45500,Han Yun-Su,M,23,NA,NA,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Horse Vault,NA
39447,Frank Genaro (DiGennara-),M,18,156,51,United States,USA,1920 Summer,1920,Summer,Antwerpen,Boxing,Boxing Men's Flyweight,Gold
85518,Jan Nevens,M,21,172,58,Belgium,BEL,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's Road Race Individual,NA
69697,Johan Martin Lidberg,M,27,180,85,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Wrestling,Wrestling Men's Light-Heavyweight Greco-Roman,NA
54087,Travis Jayner,M,27,185,75,United States,USA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,Short Track Speed Skating Men's 5000 metres Relay,Bronze
106865,Antoine Schildwein,M,36,NA,NA,France,FRA,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,NA
130031,Willye Brown White,F,32,163,56,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's Long Jump,NA
80455,Tekeste Mitiku,M,18,170,57,Ethiopia,ETH,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 20 kilometres Walk,NA
111348,Kaija Helena Sipil (-Hussa),F,20,166,54,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 100 metres,NA
15210,Sarah Bro,F,20,177,64,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA
48824,Irene Hirst,F,18,NA,NA,Great Britain,GBR,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,NA
82238,Andrew J. Morris,M,26,168,65,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Floor Exercise,NA
50400,John Garvin Hoyt,M,41,178,75,Puerto Rico,PUR,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Two Person Keelboat,NA
96325,Alain Portes,M,30,177,74,France,FRA,1992 Summer,1992,Summer,Barcelona,Handball,Handball Men's Handball,Bronze
33098,Jorge Escalante Larrauri,M,20,171,71,Mexico,MEX,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
51317,Eevi Maria Huttunen (-Pirinen),F,37,160,56,Finland,FIN,1960 Winter,1960,Winter,Squaw Valley,Speed Skating,Speed Skating Women's 3000 metres,Bronze
3404,Mohamed Mahmoud Amer,M,39,NA,NA,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Small-Bore Rifle Three Positions 50 metres,NA
13593,Katalin Boros,F,19,173,63,Hungary,HUN,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 100 metres Freestyle,NA
134287,Katrin Zeller,F,34,170,60,Germany,GER,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,NA
11046,Bernard George Betke,M,33,180,NA,United States,USA,1924 Summer,1924,Summer,Paris,Shooting,Shooting Men's Rapid-Fire Pistol 25 metres,NA
75211,John Markovski,M,22,NA,NA,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,NA
16472,Roy-Allan Saul Burch,M,22,185,77,Bermuda,BER,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,NA
63670,Eigil Adolph Kragh Christiansen,M,17,NA,NA,Sonja II,NOR,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 6 metres,NA
49536,Ian Holness,M,22,191,91,South Africa,RSA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,NA
93417,Elisa Fernndez Prez de las Heras (Fernndez-),F,25,163,56,Mexico,MEX,1972 Summer,1972,Summer,Munich,Equestrianism,Equestrianism Mixed Jumping Team,NA
128766,Fritz Kristian Warncke,M,20,181,70,Norway,NOR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
14018,Marcel K. Boulad,M,31,NA,NA,Egypt,EGY,1936 Summer,1936,Summer,Berlin,Fencing,Fencing Men's epee Individual,NA
84505,Ryan Napoleon,M,22,187,84,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
60591,Christian Kipfer,M,26,NA,NA,Switzerland,SUI,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Rings,NA
29662,Douchet,M,NA,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Gymnastics,Gymnastics Men's Individual All-Around,NA
41970,Susanne Gossick,F,16,168,52,United States,USA,1964 Summer,1964,Summer,Tokyo,Diving,Diving Women's Springboard,NA
25774,Dominique Margaux Dawes (-Thompson),F,19,158,54,United States,USA,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Uneven Bars,NA
12570,Sergey Bokov,M,21,182,72,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Triple Jump,NA
55408,Kathleen Ann Johnson (-Clarke),F,24,153,45,United States,USA,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,NA
120651,Klavdiya Aleksandrovna Tochonova (-Khlybova),F,30,178,71,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's Shot Put,Bronze
90637,Marc Pajot,M,22,183,74,France,FRA,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,NA
114459,Yury Vasilyevich Starunsky,M,27,189,87,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Men's Volleyball,Bronze
128452,Wang Haibin,M,30,185,83,China,CHN,2004 Summer,2004,Summer,Athina,Fencing,Fencing Men's Foil Individual,NA
68920,Robert Leroux,M,24,182,72,France,FRA,1992 Summer,1992,Summer,Barcelona,Fencing,Fencing Men's epee Team,NA
33690,Aigars Fadejevs,M,28,175,69,Latvia,LAT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,NA
96136,Cornel Popescu,M,23,183,86,Romania-1,ROU,1984 Winter,1984,Winter,Sarajevo,Bobsleigh,Bobsleigh Men's Two,NA
117502,Ottmr Szepesi (Schaurek),M,34,NA,NA,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Equestrianism,Equestrianism Men's Jumping Team,NA
112892,Alexandra Soler,F,16,156,49,France,FRA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,NA
49673,Mria Homolov,F,24,161,55,Slovakia,SVK,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,NA
57350,Dietloff Kapp,M,27,NA,NA,Germany,GER,1952 Summer,1952,Summer,Helsinki,Modern Pentathlon,Modern Pentathlon Men's Team,NA
11453,Alexander Henry Bijkerk,M,24,180,80,Australia,AUS,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Middleweight,NA
32319,Dawn L. Ellerbe,F,26,186,111,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Hammer Throw,NA
79752,Giuseppe Milano,M,24,NA,NA,Italy,ITA,1912 Summer,1912,Summer,Stockholm,Football,Football Men's Football,NA
57906,Artras Kasputis,M,33,183,83,Lithuania,LTU,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Road Race Individual,NA
15279,Janez Brodnik,M,28,172,68,Yugoslavia,YUG,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Parallel Bars,NA
91912,Renato Pasini,M,28,180,83,Italy,ITA,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's Sprint,NA
57211,Keita Kaneto,M,29,174,68,Japan,JPN,1996 Summer,1996,Summer,Atlanta,Diving,Diving Men's Platform,NA
124739,Pleun van Leenen,M,27,NA,NA,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Marathon,NA
4224,Dimitrios Andromedas,M,NA,NA,NA,Greece,GRE,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Pentathlon,NA
53643,Jang Si-Yeong,M,20,175,71,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Water Polo,Water Polo Men's Water Polo,NA
38108,Rebecca Gallantree,F,31,166,60,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Springboard,NA
50327,Rebecca Howard,F,37,162,70,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,Equestrianism Mixed Three-Day Event Team,NA
88282,Hjalmar Mauritz Ohlsson,M,20,NA,NA,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Triple Jump,NA
