39209,Mitchell Jay Gaylord,M,23,174,68,United States,USA,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
124284,Albert Van Den Abeele,M,29,NA,NA,Danzig,BEL,1936 Summer,1936,Summer,Berlin,Sailing,Sailing Mixed One Person Dinghy,NA
14903,Odd Arne Brekne,M,27,182,NA,Norway,NOR,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Small-Bore Rifle Prone 50 metres,NA
90795,Nathalie Pallet,F,24,170,65,France,FRA,1988 Summer,1988,Summer,Seoul,Fencing,Fencing Women's Foil Team,NA
126687,Jnis Vilsons,M,28,NA,NA,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,NA
2125,Hussein Al-Sadiq,M,20,NA,NA,Saudi Arabia,KSA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 1500 metres Freestyle,NA
123616,Yevgeny Romanovich Ustyugov,M,24,168,60,Russia,RUS,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,NA
34252,Adam Faul,M,19,NA,NA,Canada,CAN,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Heavyweight,NA
42132,Kerri Gowler,F,22,182,76,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,NA
37196,Karlheinz Friedrich,M,26,161,52,Germany,GER,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Floor Exercise,NA
131240,Katarzyna Wjcicka-Bachleda-Curu (-Trzebunia),F,22,170,62,Poland,POL,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,Speed Skating Women's 1500 metres,NA
48182,Paul Herrmann,M,24,173,67,Germany,GER,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,Short Track Speed Skating Men's 1500 metres,NA
43064,Zygmunt Grodner,M,20,178,78,Poland,POL,1952 Summer,1952,Summer,Helsinki,Fencing,Fencing Men's epee Team,NA
57168,Anwar Kandafil,M,23,170,69,Morocco,MAR,1996 Summer,1996,Summer,Atlanta,Wrestling,Wrestling Men's Lightweight Greco-Roman,NA
8496,Jean Bassomben,M,29,182,86,Cameroon,CMR,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Heavyweight,NA
3022,Pentti Johannes Alonen,M,30,172,65,Finland,FIN,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
75414,John Birnie Marshall,M,18,NA,NA,Australia,AUS,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 1500 metres Freestyle,Silver
115156,Kerron Stewart,F,28,175,61,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
72489,Fred Lthi,M,22,NA,NA,Switzerland,SUI,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 800 metres,NA
94130,Yevgeny Mikhaylovich Petrov,M,22,176,67,Russia,RUS,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Road Race Individual,NA
84499,Gary Yuryevich Napalkov,M,23,183,78,Soviet Union,URS,1972 Winter,1972,Winter,Sapporo,Ski Jumping,Ski Jumping Men's Normal Hill Individual,NA
5242,Fernand Clment Arnout,M,28,NA,NA,France,FRA,1928 Summer,1928,Summer,Amsterdam,Weightlifting,Weightlifting Men's Lightweight,Bronze
37216,Ugo Frigerio,M,30,171,55,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 50 kilometres Walk,Bronze
14388,Francisco Boza Dibos,M,19,176,95,Peru,PER,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Trap,Silver
119176,Tibor Tenke,M,39,181,90,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Two Person Keelboat,NA
53809,Joseph Janssens,M,NA,NA,NA,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Shooting,Shooting Men's Military Rifle Prone 300 metres Team,NA
27141,Silvia del Rincon Lpez,F,20,NA,NA,Spain,ESP,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
74362,Paul Camille Albert Mandrillon,M,32,NA,NA,France,FRA,1924 Winter,1924,Winter,Chamonix,Military Ski Patrol,Military Ski Patrol Men's Military Ski Patrol,Bronze
64606,Ryszard Kucjas,M,29,160,59,Poland,POL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Horse Vault,NA
