size,dict1 rand,dict2 rand,dict1 order,dict2 order
1000,12,11,588,582
2000,14,13,717,707
3000,17,15,1871,1833
4000,15,13,2866,2798
5000,18,16,2871,2784
6000,15,12,3624,3524
7000,14,12,1652,1579
8000,20,18,4665,4464
9000,16,15,5530,5246
10000,19,17,4136,3924
20000,16,14,13562,12315
30000,18,14,13176,11430
40000,23,18,26352,22103
50000,21,19,15273,12354
